Replicate,CCD Point Type,Experiments,MV,ME,MS,m,CC,C_M,Nel,Q,AR,Ortho,Skew,C_S,It,VM_RMS,?P,k,Îµ,Re,y^+
1,Factorial Point,1,1.5,1.5,1.5,22.455,1.00E-04,3.672,8.677,7.682,7.393,7.493,9.949,15.641,33,86.354,2.04,1.186,23.627,1.038,10.397
1,Factorial Point,2,4,1.5,1.5,22.455,1.00E-05,3.151,2.161,7.03,6.966,7.117,9.598,6.038,80,65.019,1.986,0.897,22.847,1.037,9.761
1,Factorial Point,3,1.5,4,1.5,22.455,1.00E-05,3.65,8.61,7.68,7.389,7.486,9.952,34.303,80,55.555,2.067,1.18,21.315,1.038,10.198
1,Factorial Point,4,4,4,1.5,22.455,1.00E-04,2.014,2.033,7.035,6.967,7.113,9.609,3.789,53,97.849,2.002,0.926,23.419,1.037,9.662
1,Factorial Point,5,1.5,1.5,4,22.455,1.00E-05,3.887,8.639,7.683,7.394,7.492,9.95,34.168,80,57.858,2.076,1.198,21.241,1.038,10.229
1,Factorial Point,6,4,1.5,4,22.455,1.00E-04,2.811,2.085,7.026,6.96,7.109,9.603,3.454,47,99.591,1.977,0.876,19.137,1.038,9.726
1,Factorial Point,7,1.5,4,4,22.455,1.00E-04,3.509,8.571,7.681,7.389,7.484,9.954,14.226,33,90.592,1.933,1.139,21.401,1.038,10.368
1,Factorial Point,8,4,4,4,22.455,1.00E-05,1.952,1.963,7.041,6.971,7.115,9.617,5.57,80,41.564,1.956,0.901,18.261,1.038,9.702
1,Factorial Point,9,1.5,1.5,1.5,34.93,1.00E-05,3.723,8.682,7.682,7.394,7.494,9.949,35.425,80,55.756,4.881,2.846,78.025,1.614,15.112
1,Factorial Point,10,4,1.5,1.5,34.93,1.00E-04,1.95,2.165,7.027,6.964,7.113,9.598,5.096,68,95.486,4.687,2.213,81.311,1.614,14.267
1,Factorial Point,11,1.5,4,1.5,34.93,1.00E-04,3.672,8.614,7.679,7.389,7.486,9.952,16.487,35,92.198,4.842,2.889,84.084,1.614,15.302
1,Factorial Point,12,4,4,1.5,34.93,1.00E-05,1.713,2.035,7.035,6.968,7.113,9.61,5.703,80,43.861,4.658,2.243,79.532,1.614,14.235
1,Factorial Point,13,1.5,1.5,4,34.93,1.00E-04,3.822,8.638,7.681,7.391,7.489,9.95,15.339,34,95.724,4.562,2.755,75.693,1.614,15.419
1,Factorial Point,14,4,1.5,4,34.93,1.00E-05,1.72,2.084,7.025,6.959,7.108,9.602,5.986,80,40.128,4.572,2.194,63.606,1.614,14.269
1,Factorial Point,15,1.5,4,4,34.93,1.00E-05,3.774,8.568,7.68,7.388,7.483,9.954,33.059,80,54.101,4.583,2.684,69.494,1.614,15.202
1,Factorial Point,16,4,4,4,34.93,1.00E-04,1.905,1.965,7.042,6.972,7.116,9.616,3.76,54,93.848,4.608,2.188,65.79,1.614,14.28
1,Axial Point,17,2.125,2.75,2.75,28.693,5.50E-05,2.296,4.146,7.528,7.258,7.382,9.881,13.324,80,66.455,3.251,1.815,42.886,1.326,12.389
1,Axial Point,18,3.375,2.75,2.75,28.693,5.50E-05,2.834,2.24,7.195,7.047,7.208,9.691,6.34,80,84.14,3.168,1.431,36.766,1.326,12.991
1,Axial Point,19,2.75,2.125,2.75,28.693,5.50E-05,2.07,2.777,7.335,7.134,7.27,9.786,8.306,80,95.226,3.251,1.724,41.912,1.326,12.191
1,Axial Point,20,2.75,3.375,2.75,28.693,5.50E-05,2.111,2.783,7.326,7.125,7.262,9.785,8.306,80,93.986,3.253,1.708,41.334,1.326,12.217
1,Axial Point,21,2.75,2.75,2.125,28.693,5.50E-05,1.953,2.777,7.334,7.132,7.27,9.786,8.308,80,91.681,3.248,1.729,42.387,1.326,12.15
1,Axial Point,22,2.75,2.75,3.375,28.693,5.50E-05,1.94,2.781,7.336,7.135,7.272,9.786,8.381,80,99.076,3.246,1.711,42.595,1.326,12.173
1,Axial Point,23,2.75,2.75,2.75,25.574,5.50E-05,2.006,2.779,7.337,7.136,7.273,9.786,8.743,80,90.595,2.596,1.369,30.111,1.182,10.969
1,Axial Point,24,2.75,2.75,2.75,31.811,5.50E-05,1.865,2.771,7.326,7.124,7.262,9.786,8.372,80,84.982,3.964,2.094,55.827,1.47,13.337
