Replicate,CCD Point Type,eriment,m,v,P_inlet,P_outlet,?P_target,Re_target
1,Factorial Point,1,22.455,0.0225,91.196,89.260,1.935,0.817
1,Factorial Point,2,34.93,0.0350,94.840,92.051,2.790,1.271
1,Central Point,3,28.693,0.0288,92.739,90.446,2.293,1.044
1,Axial Point,4,25.574,0.0257,91.898,89.800,2.097,0.930
1,Axial Point,5,31.811,0.0319,93.720,91.197,2.524,1.157
2,Factorial Point,1,22.455,0.0225,91.196,89.260,1.935,0.817
2,Factorial Point,2,34.93,0.0350,94.840,92.051,2.790,1.271
2,Central Point,3,28.693,0.0288,92.739,90.446,2.293,1.044
2,Axial Point,4,25.574,0.0257,91.898,89.800,2.097,0.930
2,Axial Point,5,31.811,0.0319,93.720,91.197,2.524,1.157
3,Factorial Point,1,22.455,0.0225,91.196,89.260,1.935,0.817
3,Factorial Point,2,34.93,0.0350,94.840,92.051,2.790,1.271
3,Central Point,3,28.693,0.0288,92.739,90.446,2.293,1.044
3,Axial Point,4,25.574,0.0257,91.898,89.800,2.097,0.930
3,Axial Point,5,31.811,0.0319,93.720,91.197,2.524,1.157
